name,start,end,strand,fullstart,fullend,chr,gal,gal2,aF,aF2,OAY1,OAY2
YAL068C,2169,1806,-1,2169,1806,chrI,2.7325531784322585,1.3710714016024121,5.577975414855898,3.3305239433109013,1.877154770307588,6.582246399390857
YAL067W-A,2479,2707,1,2479,2707,chrI,0.0,0.0,0.0,0.0,0.0,0.0
YAL067C,9016,7234,-1,9016,7234,chrI,15.76601879143006,52.4847099779542,24.11814507856285,17.60126101610426,26.357619239091505,25.688531379395485
YAL065C,11951,11564,-1,11951,11564,chrI,5.4042995030911625,7.0203512039967,14.351048591238143,8.445564499289121,12.693302856643465,7.964691571495307
YAL064W-B,12045,12426,1,12045,12426,chrI,6.749357355686714,7.029118587967672,28.12616816973107,10.908652265204148,6.066156549255723,2.955073694002384
YAL064C-A,13743,13362,-1,13743,13362,chrI,1.334221556262691,1.08575283096524,3.8872131617211987,1.6939061009954184,4.732647997479679,1.2771555458430572
YAL064W,21565,21850,1,21565,21850,chrI,1.1879136990937782,0.356822191334322,3.629466688878048,2.504362020280334,1.108064412506743,2.6257947160668764
YAL063C-A,22685,22394,-1,22685,22394,chrI,4.120592779738511,8.784010907939184,21.852695351356143,16.190012883854195,4.590779076760107,5.097180903686752
YAL063C,27968,23999,-1,27968,23999,chrI,5.382043358007675,6.849800277643834,11.246192360323255,6.330458950773777,7.238518736135937,6.865555738500245
YAL062W,31566,32940,1,31566,32940,chrI,24.38453592110158,45.73491056847361,76.0787789205783,47.691389646418635,61.72945133524654,74.00791377940297
YAL061W,33447,34701,1,33447,34701,chrI,51.77538781643841,175.03393032005607,33.074570053308875,24.617653285555,28.247380495771623,23.679519511942267
YAL060W,35154,36303,1,35154,36303,chrI,712.2746927336905,1266.0216598098425,617.6284385901366,413.2093797401063,640.6310939078703,631.9092317816009
YAL059W,36508,37147,1,36508,37147,chrI,17.938778747631726,8.310660562791387,15.308096471383314,12.904011893483029,48.415149825798,43.90683780183428
YAL058W,37463,38972,1,37463,38972,chrI,29.86532628913769,30.490250046041,61.65241887047218,39.976830195273216,29.06897893454545,25.481227490536213
YAL056W,39258,41901,1,39258,41901,chrI,34.565225630685674,32.77787740432114,49.848119417853844,30.309257537965802,46.21536827556975,41.442610213277604
YAL055W,42176,42719,1,42176,42719,chrI,12.807613942934179,15.261925659131466,21.36760525162251,12.682398157783616,23.035735443231488,26.954843474021743
